anonymous_id,novel,detection,ontology_id,spatial,temporal,kinetics_id_0,kinetics_id_1,kinetics_id_2,kinetics_id_3,kinetics_id_4,annotation_name_1,annotation_value_1,annotation_name_2,annotation_value_2,annotation_name_3,annotation_value_3,annotation_name_4,annotation_value_4
8acb85a6-339c-4d7c-87ee-0c1218dbc734.mp4,0,0,18,0,0,playing ice hockey,roller skating,hockey stop,ice skating,skateboarding,Perspective,front,Location,indoors,On,Snow,NA,NA
f4c960b9-8703-4064-b2f7-48ee8770515c.avi,0,0,0,0,0,breaking boards,making horseshoes,using a sledge hammer,playing xylophone,bending metal,Perspective,front,Location,indoors,With,Hammer,NA,NA
aa6f8279-8fe3-4e9d-83c3-d08c299a23f3.mp4,0,0,12,0,0,playing trombone,playing saxophone,singing,playing trumpet,playing recorder,Perspective,front,Location,indoors,What,Trumpet,NA,NA
e0c941c7-323b-4ab9-adbc-bc912afaa424.mp4,0,0,12,0,0,playing trombone,playing trumpet,playing saxophone,playing didgeridoo,playing clarinet,Perspective,side,Location,indoors,What,Trombone,NA,NA
2b2e2e94-c2ba-45ca-b5ba-3aea11034d67.avi,0,0,18,0,0,ice skating,hockey stop,riding scooter,skateboarding,roller skating,Perspective,side,Location,indoors,On,Snow,NA,NA
38114656-0da4-4261-8150-38ffdffcccce.mp4,0,0,12,0,0,playing trombone,playing trumpet,playing clarinet,singing,playing didgeridoo,Perspective,front,Location,indoors,What,Trombone,NA,NA
e3cdb813-f37a-4098-b1a8-2e42e3814608.mp4,0,0,16,0,0,skipping rope,wrestling,bouncing on trampoline,high jump,high kick,Perspective,side,Location,indoors,On,Mat,NA,NA
c1f26a1f-2e98-4261-99a1-55306ec197e0.mp4,0,0,18,0,0,ice skating,hockey stop,playing ice hockey,skiing crosscountry,skateboarding,Perspective,front,Location,indoors,On,Snow,NA,NA
5758456e-15d3-4fb4-85de-8f3e86c24097.mp4,0,0,16,0,0,punching person (boxing),wrestling,bouncing on trampoline,high kick,skipping rope,Perspective,side,Location,indoors,On,Mat,NA,NA
a03325e6-521c-407d-9d9b-c5422b64acee.mp4,0,0,4,0,0,chopping wood,singing,throwing axe,planing wood,using a sledge hammer,Perspective,side,Location,outdoors,With,Axe,On,Gravel
6f116c1e-5227-43a7-a071-65feb58dfbe6.mp4,0,0,12,0,0,playing trombone,playing trumpet,busking,playing didgeridoo,playing recorder,Perspective,front,Location,indoors,What,Trumpet,NA,NA
b884ed3c-1131-4a6c-b724-e6645e9a67b9.mp4,0,0,12,0,0,playing trombone,playing trumpet,singing,playing saxophone,playing clarinet,Perspective,front,Location,indoors,What,Trombone,NA,NA
8c98926f-a7e1-4c91-b675-74ac8a8a0fb8.mp4,0,0,12,0,0,singing,playing trombone,playing saxophone,playing trumpet,playing recorder,Perspective,front,Location,indoors,What,Trombone,NA,NA
c60f26f0-f192-46c1-9ca8-5a8edc2e9c41.mp4,0,0,12,0,0,playing trumpet,playing organ,playing trombone,playing clarinet,playing saxophone,Perspective,side,Location,indoors,What,Trumpet,NA,NA
1acb24bf-0df6-4345-9b1b-c46811a1a43a.mp4,0,0,6,0,0,riding a bike,land sailing,falling off bike,mowing lawn,biking through snow,Perspective,front,Location,indoors,On,Cycle,NA,NA
0760cac8-0d49-4b88-af21-15f344c0f1ef.mp4,0,0,12,0,0,playing trombone,playing trumpet,playing clarinet,playing recorder,singing,Perspective,top,Location,indoors,What,Trombone,NA,NA
1e36f7f5-1b5c-4e8f-8954-55292c3e29a4.mp4,0,0,6,0,0,driving tractor,riding unicycle,land sailing,jaywalking,falling off bike,Perspective,side,Location,outdoors,On,Cycle,NA,NA
c35e9327-6672-4e9a-88d1-d5a1c63a16b4.mp4,0,0,12,0,0,playing trombone,playing trumpet,playing clarinet,playing saxophone,playing pan pipes,Perspective,front,Location,outdoors,What,Trumpet,NA,NA
4da57302-67bd-4fa5-ac9b-ea0718127115.mp4,0,0,4,0,0,chopping wood,singing,throwing axe,rock climbing,planing wood,Perspective,back,Location,outdoors,With,Axe,On,Snow
c2c9d5c3-e6b5-4795-8676-cbc9be1729ea.mp4,0,0,12,0,0,busking,playing saxophone,playing trumpet,playing trombone,playing clarinet,Perspective,front,Location,indoors,What,Trumpet,NA,NA
8f2776ad-5171-4ce6-86df-e8bc21d93848.mp4,0,0,18,0,0,ice skating,playing ice hockey,riding scooter,hockey stop,roller skating,Perspective,side,Location,outdoors,On,Pavement,NA,NA
9d947316-9fac-41de-8b1e-40bfbf03d9d6.mp4,0,0,16,0,0,wrestling,punching person (boxing),bouncing on trampoline,high jump,skipping rope,Perspective,top,Location,indoors,On,Mat,NA,NA
